titulo,data,autoria,tags,principal,texto,label
"Bolsonaro é aplaudido na Argentina em 2022, mostra vídeo #boato",12/05/2022,Kyene Becker,Eleições 2022,"Boato – Vídeo mostra presidente Bolsonaro sendo recebido por multidão com aplausos e gritos, na Argentina, em 2022","As eleições presidenciais no Brasil ocorrem no próximo dia 2 de outubro de 2022 e prometem causar uma verdadeira discórdia em todo o país. Especialmente, por conta da participação do ex-presidente Luiz Inácio Lula da Silva e do atual presidente do Brasil, Jair Bolsonaro.",1
Bolsonaro nomeou 100 marechais durante o seu governo #boato,18/05/2022,Kyene Becker,Eleições 2022;Jair Bolsonaro,Boato – Presidente Bolsonaro transforma 100 generais em marechais. Título só é concedido em períodos de guerra.,"Desde o início do governo Bolsonaro, o número de militares em cargos de alto escalão aumentou de maneira considerável. Em 2018, ",1
"Bíblia vai ser proibida no Brasil pelo STF, denuncia Bolsonaro #boato",10/05/2022,Kyene Becker,Eleições 2022;STF,Boato – Presidente Jair Bolsonaro afirma que o STF está trabalhando para proibir a venda e a circulação no Brasil.,"Além de vídeo retirados de contexto (temos um exemplo que acabou de sair no Boatos.org aqui), um tipo de notícia falsa que sempre circula online é a que aponta para questões sensíveis como a religiosidade.",1
Polícia prende militantes de Lula que iriam de ônibus para Fortaleza realizar saques em supermercados #boato,05/04/2022,Edgard Matsuki,Eleições 2022;Lula,Boato – Vídeo mostra o momento em que a polícia do Ceará prendeu manifestantes que iriam de ônibus para Fortaleza realizar saques em supermercados a mando do ex-presidente Lula.,"No último domingo, uma série de manifestações de movimentos populares chamou atenção na internet. Em um protesto contra fome no Brasil, grupos ocuparam alguns supermercados. Um vídeo da invasão de um dos locais chegou a ser compartilhado, inclusive, pelo presidente Jair Bolsonaro. No meio deste quadro e de acusações sem provas contra os manifestantes, um vídeo começou a circular online.",1
Lula está com doença grave e vai desistir da candidatura #boato,06/04/2022,Kyene Becker,Eleições 2022;Lula,"Boato – Ex-presidente Lula está com uma doença grave e deve desistir da candidatura à Presidência da República, em 2022.","Desde que o ex-presidente Luiz Inácio Lula da Silva deixou a prisão e as acusações contra ele foram revogadas, a esquerda viu, novamente, uma esperança renascer. Se isso não bastasse, em março de 2021, Lula recuperou seus direitos políticos após uma decisão do Supremo Tribunal Federal (STF).",1
Lula convocou 15 advogados para tirar do ar vídeo em que chama Dilma de “cretina” e diz que o PT é uma “organização criminosa” #boato,11/04/2022,Edgard Matsuki,Clássico;Eleições 2022;Lula,"Boato – Lula contratou 15 advogados para tirar do ar o vídeo chamado “a verdade oculta de Lula” em que diz que Dilma é “cretina, maldosa, mentirosa e safada”, que o PT é uma “organização criminosa” e que encontraram R$ 20 bilhões em sua casa.","Como falamos agora há pouco, boatos que circularam próximo a 2018 estão voltando a circular com força agora em 2022. A história que vamos tratar agora aponta para um vídeo que Lula estaria “tentando tirar do ar das redes sociais”.",1
Barroso diz “Bolsonaro será reeleito se passarem por cima do meu cadáver” em live #boato,05/04/2022,Edgard Matsuki,Eleições 2022;Luís Roberto Barroso,"Boato – Em live com juízes franceses, o ministro do STF Luís Roberto Barroso disse as seguintes frases: “Bolsonaro será reeleito se passarem por cima do meu cadáver” e “Lula merece uma segunda chance”.",As eleições de 2022 estão se aproximando e parece que já começam a monopolizar a pauta das fake news. A prova disso está falsas declarações que estão sendo atribuídas a personalidades políticas brasileiras. O último personagem citado é o ministro do STF Luís Roberto Barroso.,1
Hospital do Fundão foi reformado graças ao presidente Jair Bolsonaro #boato,12/04/2022,Kyene Becker,Eleições 2022,"Boato – Em dois anos, o presidente Jair Bolsonaro reformou o Hospital Universitário do Fundão, no Rio, que permaneceu 16 anos abandonado pelo governo do PT. ","A proximidade de eleições volta e meia é marcada por obras que, ao longo dos mandatos, nunca saíram do papel, mas que meses antes do pleito, surpreendentemente, acontecem. ",1
XP emprestou avião para Lula viajar pelo Brasil #boato,19/05/2022,Kyene Becker,Eleições 2022;Lula;XP,"Boato – XP Investimentos, responsável por encomendar pesquisa de intenção de voto, emprestou avião para Lula viajar pelo Brasil.","Após anunciar sua candidatura à Presidência pelo PT, o ex-presidente Luiz Inácio Lula da Silva tem vivido momentos de amor e ódio. Ao mesmo tempo que conquistou muitos seguidores e apoiadores, Lula tem sofrido constantes ataques nas redes sociais.",1
"Bolsonaro está na frente de Lula (com 41%) em pesquisa, mas CNN tenta esconder #boato",15/04/2022,Kyene Becker,CNN;Eleições 2022;Lula,"Boato – Pesquisa de intenção de voto mostra Bolsonaro com 41% e Lula com 31%, mas CNN coloca Lula em primeiro lugar.","Com a proximidade das eleições presidenciais de 2022, no Brasil, os ânimos andam exaltados nas redes sociais. Especialmente, quando o assunto é pesquisa de intenção de voto. Ao que tudo indica, teremos um pleito novamente polarizado.",1
Motociata a favor de Bolsonaro teve 2 milhões de pessoas #boato,16/04/2022,Edgard Matsuki,Eleições 2022,"Boato – A “motociata Acelera para Cristo” de 2022, a favor do presidente Jair Bolsonaro, teve a participação de 2 milhões de pessoas. Foto mostra a multidão.","No ano passado, quando a primeira edição da chamada “Motociata para Cristo”, evento que, na realidade, não passa de um manifestação de apoio ao presidente Jair Bolsonaro, o Boatos.org teve que desmentir alguns fakes sobre a sua magnitude ",1
Mulher foi atrapalhar comitiva de Bolsonaro nos EUA e foi presa pela polícia #boato,,Edgard Matsuki,,Boato – Vídeo que mostra mulher sendo presa com truculência pela polícia dos Estados Unidos é de um protesto de uma esquerdista contra a comitiva do presidente Jair Bolsonaro.,"Muitas das informações falsas que circulam na internet estão relacionadas a vídeos retirados de seu contexto original para exaltar uma figura política do Brasil. No caso de hoje, um vídeo está sendo compartilhado de forma errônea para colocar o presidente Jair Bolsonaro como protagonista.",1
Lula diz que estuda acabar com o 13º salário de professores #boato,08/06/2022,Edgard Matsuki,Eleições 2022;Lula,"Boato – O ex-presidente Lula anunciou que, se eleito, vai acabar com o 13º salário dos professores de escolas públicas. Ele também criticou aumento dado por Bolsonaro.",Um dos tipos mais clássicos de fake news que aparece nas eleições é aquela da falsa declaração atribuída a pessoas famosas. A mais nova que vimos circular por aí aponta para uma suposta declaração do ex-presidente Lula.,1
João Campos leva ovada durante evento no Recife (PE) #boato,17/04/2022,Edgard Matsuki,Eleições 2022;João Campos,"Boato – Vídeo mostra o momento em que o prefeito do Recife (PE), João Campos, é atingido por uma ovada durante evento na capital pernambucana.",Os últimos A Semana em Fakes do Boatos.org falaram como vídeos e fotos fora de contexto têm tentado mostrar que a “opinião pública” está divergindo das pesquisas eleitorais (você pode ler com detalhes,1
Espectador grita “prendam o Lula” durante Paixão de Cristo em Nova Jerusalém #boato,18/04/2022,Edgard Matsuki,Clássico;Eleições 2022;Lula,"Boato – Durante a encenação da Paixão de Cristo na cidade de Nova Jerusalém (PE), um espectador gritou “prendam o Lula” na hora de escolher entre Jesus e Barrabás.","A Páscoa já passou, a Sexta-feira Santa (e o feriado) já passou, mas as fake news sobre o feriado ainda circulam por aí. A última delas aponta para uma suposta ação de um espectador durante a apresentação da Paixão de Cristo, na cidade de Nova Jerusalém (PE).",1
Gritaram “prendam o Bolsonaro” durante Paixão de Cristo em Nova Jerusalém (PE) #boato,18/04/2022,Kyene Becker,Eleições 2022;Jair Bolsonaro,"Boato – Durante teatro da Paixão de Cristo, em Nova Jerusalém (PE), plateia pede para prender o presidente Jair Bolsonaro.",Parece que o presidente Jair Bolsonaro não teve uma vida fácil durante o feriado de Páscoa. Depois de começar a sexta-feira Santa de maneira positiva (,1
TSE proíbe Bolsonaro de reduzir o preço dos combustíveis #boato,19/04/2022,Edgard Matsuki,Eleições 2022;TSE,"Boato – O TSE tomou a decisão de proibir o presidente Jair Bolsonaro de baixar o preço dos combustíveis em ano eleitoral. Por isso, o preço da gasolina não poderá diminuir.","Até um ou dois dias atrás, o ritmo das fake news parecia estar, por assim dizer, calmo. Notamos, agora, já uma modificação nisso. A prova está na história de hoje, que aponta para uma suposta decisão do TSE em relação ao presidente Jair Bolsonaro.",1
"Dr. Avacalho Ellhys, advogado do PT, orienta sobre fraude nas urnas e pesquisa eleitorais #boato",19/04/2022,Edgard Matsuki,Eleições 2022;PT;Urnas eletrônicas,"Boato – Vídeo mostra o advogado do PT, Dr. Avacalho Ellhys, falando sobre fraude nas urnas eletrônicas e pesquisas eleitorais durante as eleições de 2022.","No último A Semana em Fakes, o ",1
Gleisi Hoffmann presta solidariedade a donos de balsas após Bolsonaro inaugurar ponte no Acre #boato,18/04/2022,Edgard Matsuki,Eleições 2022;Gleisi Hoffmann;PT,"Boato – Via Twitter, a deputada federal Gleisi Hoffmann prestou “solidariedade” a donos de balsas que fazem a travessia do Rio Madeira após Bolsonaro inaugurar uma ponte no Acre.",Não é de hoje que publicações falsamente atribuídas a autoridades circulam na internet. Um dos principais alvos deste tipo de fake news nos últimos tempos é a deputada federal e presidente do PT Gleisi Hoffmann. A última história que circula online aponta para um suposto tuíte (publicação no Twitter) que ela teria feito.,1
Índios invadiram a governadoria da Bahia para cobrar dinheiro de passeata contra Bolsonaro #boato,28/04/2022,Edgard Matsuki,Eleições 2022;Rui Costa,Boato – Vídeo mostra o momento em que índios tentam invadir a governadoria da Bahia para cobrar de Rui Costa o dinheiro prometido da passeata contra Bolsonaro em Porto Seguro.,"Estamos em um momento no qual qualquer vídeo, mesmo que verdadeiro, pode virar combustível para fake news. A prova disso está na história que vamos tratar hoje e aponta para uma suposta cobrança de indígenas contra Rui Costa.",1
Alexandre de Moraes fez vídeo com ameaças ao STF quando era advogado #boato,23/04/2022,Edgard Matsuki,Alexandre de Moraes;Clássico;STF,"Boato – Quando era advogado, Alexandre de Moraes fez um vídeo com ameaças ao STF. Ele disse que iria tocar fogo no Supremo Tribunal Federal e atirar em ministros.",O julgamento do STF que resultou na condenação do deputado Daniel Silveira suscitou o aparecimento de informações antigas sobre os ministros da corte. Uma delas apontava para o ministro Alexandre de Moraes.,1
Vídeo mostra Copacabana lotada durante manifestações de 1º de maio de 2022 #boato,01/05/2022,Edgard Matsuki,,Boato – Vídeo feito na orla da praia de Copacabana mostra local lotado para manifestações a favor do presidente Jair Bolsonaro no dia 1º de maio de 2022.,"Se tem um tipo de fake news que sempre circula após manifestações é a da imagem do que “aconteceu hoje”. E, como o dia 1º de maio veio com manifestações a favor de Bolsonaro e de Lula, não demorou para uma história deste naipe aparecer na web.",1
Idosa em SC teve título de eleitor cancelado pelo TSE sem motivo #boato,21/04/2022,Kyene Becker,Eleições 2022;TSE,"Boato – Vídeo mostra idosa que teve título de eleitor cancelado pelo TSE, sem nenhum motivo aparente, tentando regularizar documento.","Ao que tudo indica, as fake news sobre as eleições brasileiras vão começar cedo. Ainda que a votação para a Presidência da República aconteça somente em outubro de 2022, as histórias falsas sobre o pleito já estão pipocando nas redes sociais.",1
"Bolsonaro é vaiado e escuta gritos de “Fora, Bolsonaro” em Goiás, mostra vídeo #boato",26/04/2022,Edgard Matsuki,Eleições 2022;Jair Bolsonaro,"Boato – O presidente Jair Bolsonaro passou vergonha em Goiás. Durante evento, ele foi vaiado e ouviu gritos de “Fora, Bolsonaro”.","Faltando menos de seis meses para as eleições presidenciais, os ataques aos principais (e aos “não-principais”) candidatos seguem a toda na internet. Neste “vale-tudo”, tem gente até escutando a “mais” para favorecer o seu lado. É o caso de hoje, que aponta para uma suposta “vergonha” que o presidente Jair Bolsonaro teria passado em Goiás.",1
Lula admite derrota para Bolsonaro em discurso de 1º de maio de 2022 #boato,03/05/2022,Kyene Becker,Eleições 2022;Lula,"Boato – Em discurso no dia 1º de maio de 2022, ex-presidente Lula admite derrota para Jair Bolsonaro nas eleições.","As eleições presidenciais de 2022 ainda estão longe, mas as fake news e as discussões sobre o pleito já começaram. E como já era de se esperar, a desinformação sobre as eleições está pipocando na internet.",1
"Dendeleão, livro citado por Sérgio Moro, foi lançado apenas em 1995 #boato",20/04/2022,Edgard Matsuki,Eleições 2022;Sérgio Moro,"Boato – Sérgio Moro disse que foi alfabetizado pelo livro Dendeleão. Porém, ele foi lançado apenas em 1995, quando o ex-ministro tinha 22 anos. Ou seja: Moro mentiu na internet.","Para além das fake news, uma ação muito comum em tempos de eleições é a perseguição gratuita a algumas figuras. Neste sentido, os dois polos políticos do Brasil (petistas e bolsonaristas) se igualam. E, em alguns casos, para que a perseguição (mesmo que com picuinhas) se justifique, são utilizadas informações falsas. É o caso de hoje.",1
Lula é capa da Forbes em 2022 e tem fortuna estimada em 2 bilhões de dólares #boato,19/05/2022,Edgard Matsuki,Clássico;Eleições 2022;Forbes;Lula,Boato – Capa da Forbes em 2022 mostra que o ex-presidente Lula é um dos homens mais ricos do mundo e tem fortuna estimada em 2 bilhões de dólares.,"Duas situações sobre o ex-presidente Lula chamaram atenção nas últimas semanas. A primeira foi a matéria sobre ele na revista norte-americana Time (da qual Lula estampa um das versões da capa). A segunda foi a festa de casamento dele com Rosângela Silva, mais conhecida como Janja.",1
"Elon Musk come pastel acompanhado de Bolsonaro, mostra foto #boato",21/05/2022,Edgard Matsuki,Eleições 2022;Elon Musk,"Boato – Depois de participar de evento no Brasil, bilionário Elon Musk comeu pastel com o presidente Jair Bolsonaro.","No dia 20 de maio, um acontecimento chamou muita atenção: a vinda do bilionário e candidato a compra do Twitter Elon Musk ao Brasil. O fato ganhou mais repercussão após o presidente Jair Bolsonaro se encontrar com ele. Foi aí que uma imagem começou a circular online.",1
"Aldo Rebelo detona ex-presidentes, diz que PT já vendeu a Petrobras, defende privatização e pede voto para Bolsonaro #boato",25/05/2022,Kyene Becker,Aldo Rebelo;Eleições 2022,"Boato – Em áudio, Aldo Rebelo diz que Lula vendeu a Petrobras para fundos internacionais e pede apoio para Bolsonaro. ","A proximidade das eleições de 2022 está cada vez mais aumentando os ânimos. Não só dos futuros candidatos, mas também de suas bases e de seus apoiadores. As farpas na internet já começaram e muitos internautas já estão assistindo tudo de camarote.",1
Lula é envergonhado por repentista em comício no Nordeste #boato,26/04/2022,Kyene Becker,Eleições 2022;Lula,"LulaBoato – Em palco de evento, repentista nordestino envergonha Lula sobre obra de transposição do São Francisco e elogio Bolsonaro","Como já era de se esperar (e como já vínhamos alertando por aqui), as fake news sobre as eleições de 2022 já estão pipocando nas redes sociais. E tem para todos os gostos: sobre as urnas eleitores, sobre a esquerda, sobre a direita, sobre os candidatos e partidos etc.",1
Moro elogiou Alexandre de Moraes por decisão de suspensão do Telegram #boato,22/03/2022,Kyene Becker,Alexandre de Moraes;Eleições 2022;Sérgio Moro,"Boato – Em tuíte, Sérgio Moro parabeniza decisão do ministro Alexandre de Moraes de bloquear o aplicativo Telegram.","No dia 17 de março de 2022, ",1
ONU desmentiu que comitê inocentou ex-presidente Lula #boato,04/05/2022,Edgard Matsuki,Eleições 2022;Lula;ONU,Boato – A ONU veio a público desmentir a informação que aponta que um comitê inocentou o ex-presidente das acusações de corrupção.,"Na última semana, Lula e seus correligionários conseguiram um trunfo na justiça internacional.",1
Steve Bannon e Mike Lindell estão certos ao dizer que eleições com urnas eletrônicas no Brasil são fraudadas #boato,19/01/2022,Edgard Matsuki,Eleições 2022;Urnas eletrônicas,"Boato – Em evento, Steve Bannon e Mike Lindell revelam a verdade sobre o Brasil: as eleições em urnas eletrônicas são fraudadas e Bolsonaro será derrotado por Lula.",A última vez que fake news sobre urnas eletrônicas dominaram o debate político no Brasil foi na época em que a ,1
Lula é recebido com gritos de Lula ladrão no aeroporto de Campinas (Viracopos) #boato,05/05/2022,Edgard Matsuki,Eleições 2022;Lula,"Boato – Vídeo mostra manifestantes gritando “Lula ladrão seu lugar é na prisão” durante chegada do ex-presidente Lula ao aeroporto de Viracopos, em Campinas, em maio de 2022."," que, neste início de campanha eleitoral, um dos tipos de fake news mais recorrentes dos últimos tempos são de vídeos tirados de contexto para dar impressão que as pesquisas eleitorais que colocam Lula em primeiro lugar estão erradas.",1
Filha da Maria do Rosário (Fernanda Minazzi) convoca para maconhaço e faz vídeo defendendo traficante #boato,05/05/2022,Edgard Matsuki,Clássico;Eleições 2022;Maria do Rosário,"Boato – Fernanda Minazzi, que gravou vídeos convocando para o “maconhaço a favor de Lula” e dizendo que “salvaria o traficante”, é filha da deputada federal Maria do Rosário.","Muito do que tem circulado em termos de desinformação na internet nada mais é do que fake news que já circularam e foram desmentidas por ai (o que denota que o problema está mais na falta de interesse em checar do que na falta de checagem). É o caso da história de hoje, que junta duas notícias falsas já desmentidas aqui no Boatos.org.",1
Biometria será exigida nas eleições de 2022 em todo o Brasil #boato,22/01/2022,Edgard Matsuki,Eleições 2022,Boato – A biometria será exigida nas eleições de 2022 em todo o Brasil. Prazo limite para fazer o cadastramento biométrico será maio de 2022.,"As eleições de 2022 serão a quinta da história do Boatos.org. O que já passamos nos permite dizer que, além dos boatos entre candidatos, o ano vai ser repleto de informações erradas sobre como se dará o pleito em si. A primeira que vimos neste ano diz respeito a uma suposta regra para que seja permitida a votação.",1
TCU abre caminho para prisão de Sérgio Moro #boato,21/01/2022,Kyene Becker,Eleições 2022;Sérgio Moro,Boato – TCU entrega informações sobre Sérgio Moro ao Ministério Público e abre brecha para a prisão do ex-juiz.,"O ano de 2022 promete boas doses de emoção aos brasileiros. Com o avanço da vacinação contra a Covid-19, muita gente esperava o retorno à vida normal, Mas a nova variante Ômicron atrasou os planos dos brasileiros.",1
Lula é vaiado e expulso de shopping por multidão em 2022 #boato,22/01/2022,Edgard Matsuki,Eleições 2022;Lula,Boato – Vídeo mostra o momento em que o ex-presidente Lula foi vaiado e expulso de um shopping. Filmagem foi feita em 2022 e prova que pesquisas eleitorais estão erradas.,"Estamos há dez meses das eleições presidenciais e podemos ver que as notícias falsas sobre o pleito estão com tudo na web. Muitas delas estão relacionadas com o que “candidato x” ou “y” fez. Na história de hoje, o personagem é o ex-presidente Lula.",1
"Aposentadoria de Lula é de R$ 45 mil, mostra contracheque #boato",23/01/2022,Edgard Matsuki,Clássico;Eleições 2022;Lula,Boato – Foto de contracheque mostra que o ex-presidente Lula ganha uma aposentadoria de R$ 45 mil como anistiado político.,"Líder nas pesquisas de intenção de voto para as eleições presidenciais de 2022, o ex-presidente Lula também tem se mostrado líder (pelo menos quantitativamente) como alvo de fake news no início deste ano. Muitas das informações falsas, inclusive, já foram desmentidas e estão voltando a circular.",1
Omar Aziz não tomou a vacina contra a Covid-19 #boato,24/01/2022,Edgard Matsuki,Fake news sobre a Covid-19;Omar Aziz,Boato – O senador Omar Aziz não tomou doses da vacina contra a Covid-19. A prova disso são registros da Secretaria de Saúde de Manaus e do DF.,"O Brasil tem experimentado uma explosão de casos da variante Ômicron da Covid-19. Uma das últimas autoridades que declararam publicamente estar com a doença é o senador Omar Aziz, presidente da CPI da Pandemia.",1
"Lula afirma, em vídeo, que vai transformar o Brasil em China comunista #boato",25/01/2022,Kyene Becker,Eleições 2022;Lula,"Boato – Em vídeo, Lula afirma que pretende adotar no Brasil o mesmo regime comunista implementado na China em 2023.","As eleições presidenciais que vão ocorrer, no Brasil, em outubro de 2022 já estão dando o que falar. Depois de ter recuperado seus direitos políticos, o ex-presidente Luiz Inácio Lula da Silva é um dos nomes mais cotados para a disputa.",1
Filme Lula o Maior Ladrão da História do Brasil (Corrupção em Vertigem) vai ao ar em TVs da Europa e EUA #boato,07/01/2022,Edgard Matsuki,Eleições 2022;Lula,"Boato – Vai ao ar em TVs da Europa e dos EUA, o filme Lula o Maior Ladrão da História do Brasil (Corrupção em Vertigem). Ele é recheado de verdades sobre Bolsonaro.","Todos os dias, nesta semana, tivemos que desmentir um boato relacionado às eleições de 2022. Mais exatamente, relacionado ao pré-candidato Lula. A última das histórias que voltou a circular por aí aponta para um suposto vídeo que iria passar em dezenas de televisões na Europa e Estados Unidos.",1
Flávio Dino mandou fechar posto da PRF em Toritoró (Maranhão) #boato,27/01/2022,Kyene Becker,Eleições 2022;Flávio Dino,Boato – Flávio Dino fecha posto da PRF após policiais apreenderam carro com dinheiro de mãe de deputada Daniella Tema.,"A Polícia Federal se tornou um assunto constante no governo de Jair Bolsonaro. Ao longo dos três anos do mandato de Bolsonaro, ",1
Haddad é flagrado comemorando implantação do comunismo do PT no Brasil #boato,27/01/2022,Edgard Matsuki,Eleições 2022;Fernando Haddad;PT,Boato – Vídeo mostra Fernando Haddad e Gleisi Hoffmann comemorando a implantação do comunismo no Brasil por parte do parte. Estão apagando este vídeo da internet.,"Nos últimos dias, o que não tem faltado na internet são mensagens falsas falando sobre a candidatura de Lula e do PT à Presidência do Brasil. A última que vimos fala, novamente, de um suposto plano de implantação comunista no país.",1
Correios compram avião graças “ao fim da corrupção” e ao governo Bolsonaro #boato,29/01/2022,Edgard Matsuki,Eleições 2022,Boato – Vídeo mostra que os Correios conseguiram comprar um avião. Tudo isso ocorreu graças ao “fim da corrupção” e por causa do presidente Jair Bolsonaro.,"Em ano de eleição, qualquer tipo de ação pode se transformar em propaganda política. Neste sentido, não importa sequer se a informação é completamente verdadeira ou “um pouquinho distorcida”. É o caso da história de hoje.",1
Bolsonaro usa Forças Armadas para fabricar lanchas escolares #boato,02/02/2022,Edgard Matsuki,Eleições 2022,Boato – Vídeo mostra projeto do presidente Jair Bolsonaro em que ele se utilizada das Forças Armadas para fabricar lanchas que levam crianças para escolas.,"Com as eleições se aproximando é possível que um tipo de notícia falsa que circula desde o início de 2019 se intensifique: a da “obra grandiosa” atribuída falsamente ao presidente Jair Bolsonaro. No caso de hoje, a história envolve também as Forças Armadas.",1
"Bolsonaro recebe aposentadoria de R$ 68 mil, mostra extrato #boato",02/02/2022,Edgard Matsuki,Eleições 2022;Jair Bolsonaro,"Boato – Extrato do INSS mostra que o presidente Jair Bolsonaro recebe R$ 68.548,32 de aposentadoria do Exército e aposentadoria especial como deputado federal.","Com as eleições se aproximando, o tiro cruzado contra os principais candidatos à Presidência da República deve se intensificar. Neste sentido, deve sobrar até para o presidente Jair Bolsonaro. A prova disso está na história de hoje.",1
PT entrará na Justiça para impedir que Bolsonaro combata seca no Nordeste #boato,03/12/2021,Edgard Matsuki,Clássico;Gleisi Hoffmann;PT;Superclássico,"Boato – Por considerar a seca como um patrimônio histórico, o PT entrou na Justiça para impedir que Bolsonaro combata falta de água no Nordeste.","Entra ano, sai ano, algumas notícias falsas só precisam de um “estalo” para voltarem a circular na internet. É o caso de história de hoje, que se baseia em um print e apresentaria um pedido do PT para “evitar uma medida de Bolsonaro”.",1
Bolsonaro está fazendo estrada de ferro de Lucas do Rio Verde até o Maranhão com maquinário incrível em Marabá #boato,08/10/2021,Edgard Matsuki,Clássico,Boato – Olha o maquinário incrível que está sendo utilizado em Marabá para a construção da estrada que vai de Lucas do Rio Verde até o Maranhão. Foi o Bolsonaro que fez.,"Um dos argumentos repetido por quem defende o governo do presidente Jair Bolsonaro é que ele “está construindo diversas coisas Brasil afora” (como se ele fosse o único a fazer isso). O problema é que, em alguns casos, obras atribuídas a Bolsonaro não são deles.",1
"China fecha acordo e banca Doria, Moro e Mandetta em 2022 #boato",09/10/2021,Edgard Matsuki,China;João Doria;Luiz Henrique Mandetta;Sérgio Moro,"Boato – A China fechou um acordo para bancar as candidaturas de João Doria, Sérgio Moro e Luiz Henrique Mandetta em 2022. Eles já tem o STF, Congresso e grande mídia.","É engraçado como, em alguns casos, o discurso do presidente Jair Bolsonaro em eventos oficiais diverge do que “fãs” e aliados escrevem em redes sociais. ",1
