titulo,vinheta,tempo,data_explicita,autoria,lead,principal,texto,label
É #FAKE que Lula disse que vai obrigar igrejas a casar gays e que nem Deus vai mandar mais do que seu governo, Fato ou Fake ,Há 4 semanas, 25/05/2022 ," Por Roney Domingos, g1 ",Imagem de print de rede social é falsa. Declaração não está nos perfis de Lula e nem foi destacada em motores de busca ou em veiculos da imprensa profissional.," Circula nas redes sociais uma imagem que simula o print de uma publicação do ex-presidente Luiz Inácio Lula da Silva em suas redes sociais e atribui a ele a seguinte declaração: ""No nosso governo, igreja vai ter seus benefícios cortados, vão pagar imposto e uma taxa de dívida histórica pelo tempo da escravidão. Também serão obrigados a casar gays. No Brasil ninguém vai mandar mais do que nosso governo, nem Deus"". É #FAKE. ", A declaração atribuída a Lula não existe. A imagem é obtida por meio de manipulação da página. ,1
É #FAKE que g1 publicou reportagem sobre recorde de anúncios de venda do VW Polo após comercial com casal gay, Fato ou Fake ,Há 1 mês, 19/05/2022 ," Por Roney Domingos, g1 ",O g1 nao publicou reportagem com esse título e conteúdo. A imagem fraudulenta foi obtida por meio de uma manipulação. OLX também refuta alegação sobre recorde de anúncios.," Circula pelas redes sociais uma imagem que imita a aparência do g1 com o título: ""Após casal gay protagonizar comercial do novo Polo, a empresa OLX contabiliza anúncios recorde em 24 horas do carro Polo à venda."" É #FAKE. ", O,1
É #FAKE que dispositivo 'chupa-cabra' inserido em urna transfere votos entre candidatos, Fato ou Fake ,Há 1 mês, 25/05/2022 ," Por Roney Domingos, g1 ",TSE esclarece que a urna trava porta USB caso seja inserido dispositivo estranho. E também só executa  software com assinatura digital válida. Equipamento apresentado no vídeo é incapaz de transferir votos., Circula nas redes sociais um vídeo em que um homem insere um dispositivo em um computador e afirma que vai mostrar um chupa-cabra de urna eletrônica. Legendas afirmam que com o chupa-cabra é possível transferir votos de um candidato para outro. É #FAKE. ," No vídeo, uma pessoa com voz masculina diz: """,1
É #FAKE que vários esquerdistas foram demitidos do Twitter do Brasil por Elon Musk logo após compra em abril de 2022 , Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ","Empresário ainda não havia concluído a compra da rede social quando a mensagem começou a circular. Procurada, a assessoria do Twitter no Brasil informou, por telefone, que a informação não procede. ", Circula pelas redes sociais uma mensagem com a foto do bilionário , Em ,1
É #FAKE que vídeo mostre rodovia em Pirassununga coberta de granizo em maio de 2022, Fato ou Fake ,Há 4 semanas, 19/05/2022 ," Por Roney Domingos, g1 ","Imagens foram publicadas em outubro de 2021. Não têm relação, portanto, com a onda de frio que atinge o país em maio de 2022."," Circula pelas redes sociais vídeo que mostra gelo cobrindo a rodovia Anhanguera, na altura de Pirassununga, em São Paulo. Legendas afirmam que as cenas mostram o resultado da "," A legenda falsa diz: """,1
É #FAKE que vídeo mostre rodovia em Pirassununga coberta de granizo em maio de 2022, G1 Fato ou Fake ,Há 4 semanas,,,"Gravação foi feita em outubro de 2021, quando granizo cobriu Rodovia Anhanguera em São Paulo.",,,1
É #FAKE que filha da deputada Maria do Rosário gravou vídeo convocando 'maconhaço' a favor de Lula, Fato ou Fake ,Há 1 mês, 12/05/2022 , Por O Globo ,Gravação de 2016 foi feita por atriz sem nenhum parentesco com a parlamentar. Maria do Rosário desmente o mesmo boato desde 2019., Circulam pelas redes sociais postagens dizendo que a filha da deputada ," A gravação é de 2016, e mostra, na verdade, a atriz Rafaela Gappo interpretando uma personagem criada por ela, Fê Minazzi, que faz sátiras sobre militantes da esquerda. A própria atriz já desmentiram o boato, bem como ",1
É #FAKE vídeo com suposto ‘arquivo dos anos 80 enterrado pela Rede Globo a pedido do PT’, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ","Embora o vídeo exiba vinheta e trechos reais do programa, a ele foram adicionados 6 minutos de imagens e legendas falsas sem conexão com o material autêntico exibido. "," Circula pelas redes sociais um vídeo que mostra trechos de uma reportagem do Fantástico sobre o assassinato de militantes políticos por companheiros durante a ditadura militar em meio a imagens e vídeos que não fazem parte do conteúdo original. O vídeo é acompanhado de uma legenda que diz: ""Esse arquivo dos anos 80 foi enterrado pela Rede Globo a pedido do PT, que pagou uma grana para enterrarem. Porém, havia uma cópia que vazou e temos que divulgar a todos os brasileiros. Não esconda essa sujeira. Relíquia valiosa"". É #FAKE. "," Embora comece exibindo trechos do vídeo original, a versão fraudulenta tem mais de 12 minutos, o dobro da reportagem autêntica, e insere indevidamente imagens e legendas sem origem conhecida ou claramente falsas totalmente estranhas ao original. ",1
É #FAKE vídeo que mostra mulher tomando choque ao manusear celular enquanto carrega, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ",Versão mais longa mostra que tudo é uma simulação e atores ensinam primeiros socorros. Canal que divulgou imagens tem outros vídeos virais com simulações., Circula pelas redes sociais um vídeo que mostra o momento em que uma mulher sentada no sofá leva um choque ao manusear o celular enquanto o aparelho está ligado à tomada para recarregar a bateria. É #FAKE. ," A legenda falsa diz: """,1
É #FAKE que homem foi preso por vender gasolina sem petróleo em 2022, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ","Embora as publicações sejam recentes em redes sociais, a imagem reproduz uma ocorrência antiga, de 2016. Professor de engenharia mecânica explica que é possível produzir gasolina sintética, mas o que o químico estava produzindo não era uma gasolina e  sim uma mistura de combustíveis."," Circula pelas redes sociais em 2022 uma imagem print de uma reportagem que informa a prisão de um homem que fabricava gasolina de alto rendimento sem petróleo no Brasil. Uma legenda diz: ""Sem o estado quem nos protegeria de gasolina a R$1,50????"" É #FAKE. "," Embora as publicações sejam recentes em redes sociais, a imagem reproduz uma ocorrência antiga, de 2016. Além disso, embora o produto não contivesse petróleo em sua base, ele usava uma combinação de solventes e metanol, substâncias encontradas com frequência na adulteração de combustíveis. ",1
É #FAKE mensagem com promoção do Nubank para o Dia das Mães que promete pix de R$ 50, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ",Nubank informa que não está realizando a campanha mencionada de Dia das Mães. Pesquisa do link oferecido em mensagem falsa em site de segurança revela que ele é potencialmente perigoso.," Circula em redes sociais uma mensagem que mostra o logotipo do Nubank, anuncia uma promoção e oferece um link para que o leitor se inscreva. É #FAKE. "," A mensagem falsa diz: """,1
"É #FAKE que Zeca Pagodinho recebeu R$ 2,2 milhões da Lei Rouanet por musical", Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ",Cantor foi apenas homenageado em musical que leva seu nome. O proponente  é a empresa empresa Danemman. Material de divulgação e assessoria do cantor esclarecem que ele não estava à frente do projeto., Circula pelas redes sociais uma mensagem que alega que o cantor ," A mensagem falsa apresenta um print do sistema Versalic, do Ministério da Cultura, e destaca o nome de ",1
É #FAKE que vacina contra Covid cause hepatite grave em crianças, CoronaVírus ,Há 1 mês, 11/05/2022 ," Por Roney Domingos, g1 ","Especialistas apontam que  maioria das crianças afetadas não recebeu a vacina contra a Covid-19. A vacinação contra a Covid-19 não é a causa"" da doença, afirmou Jay Butler, subdiretor do departamento de doenças infecciosas dos CDC.", Circulam pelas redes sociais mensagens que sugerem que as vacinas contra a Covid-19 têm relação com o os casos de hepatite grave em crianças. É #FAKE. ," Uma das versões da mensagem falsa diz: ""Atenção! Novo estudo confirmando que a vacina Covid causa hepatite autoimune grave é publicado dias após a OMS emitir alerta global sobre sobre nova hepatite grave entre crianças."" ",1
É #FAKE que Nasa considera asteroide 2009 JF1 um perigo real para a humanidade, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ",Diretor da Nasa afirma que asteroide não representa perigo e é muito pequeno para destruir o planeta., Circula pelas redes sociais publicação alarmista que afirma que a ," A mensagem falsa diz: """,1
É #FAKE post de Donald Trump agradecendo Elon Musk por retornar ao Twitter em abril de 2022, Fato ou Fake ,Há 2 meses, 28/04/2022 , Por O Globo ,"Imagem adulterada simula captura de tela, mas conta do ex-presidente dos Estados Unidos está suspensa desde a invasão do Capitólio em 2021.", Circula pelas redes sociais uma suposta postagem do ex-presidente dos Estados Unidos Donald Trump agradecendo ao bilionário Elon Musk por permitir que ele reativasse a conta no Twitter. É #FAKE. ," Trump segue banido da rede social, ",1
É #FAKE post de Musk que fala em fechar o Twitter após compra, Fato ou Fake ,Há 2 meses, 28/04/2022 ," Por Roney Domingos, g1 ",Imagem é uma montagem. Publicação não é encontrada no perfil do empresário e nem em registros da imprensa profissional., Circula nas redes sociais o print de uma postagem do bilionário ," Elon Musk não publicou em seu perfil no Twitter uma mensagem dizendo ""Now that I bought Twitter I'm going to shut it down...get outside"". ",1
É #FAKE que vinagre afaste mosquito da dengue, Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ","Não há evidências científicas quanto à eficácia do vinagre para essa finalidade, de acordo com especialistas.  O essencial é que o cidadão elimine os criadouros de mosquito de seu imóvel.", Circula pelas redes sociais um vídeo em que um homem diz que colocar um pote com vinagre no ambiente ajuda a eliminar o mosquito da ," """,1
É #FAKE foto de Lula com Suzane Richthofen, Fato ou Fake ,Há 2 meses, 27/04/2022 ," Por Roney Domingos, g1 ",Imagem é uma montagem baseada em foto que ex-presidente tirou com outra pessoa. Assessoria de Lula e defesa de Suzane afirmam que a mensagem é falsa., Circula pelas redes sociais uma imagem que mostra o ex-presidente Luiz Inácio Lula da Silva ao lado de ," A mensagem falsa completa afirma que o ex-presidente se encontrou com Suzane, com quem conversou sobre o sistema penitenciário brasileiro e que fontes afirmam que Lula disse aos presentes: 'prender ela não vai trazer os pais de volta, ela é jovem e assim como eu merece uma chance."" ",1
É #FAKE foto que mostra rainha Elizabeth II dando título de cavaleiro a um gato, Fato ou Fake ,Há 2 meses, 27/04/2022 ," Por Roney Domingos, g1 ",Imagem é uma montagem a partir de uma foto real em que a rainha nomeia cavaleiro o ator Simon Russell. Publicação foi difundida por um perfil criado para mostrar  a rotina de um gato andarilho. , Circula pelas redes sociais uma foto que mostra o momento em que a rainha Elizabeth II nomeia um gato cavaleiro da Ordem do Império Britânico. É #FAKE. ," A mensagem falsa que propaga a foto diz, em tom satírico: """,1
É #FAKE que Lula respondeu Bolsonaro no Twitter dizendo '8 meses' sobre informações colocadas em sigilo por 100 anos, Fato ou Fake ,Há 2 meses, 28/04/2022 ," Por Louise Queiroga, O Globo ",A captura de tela foi amplamente compartilhada nas redes sociais.," Circula nas redes sociais uma captura de tela que mostra uma resposta no Twitter atribuída ao ex-presidente Luiz Inácio Lula da Silva (PT) para o atual chefe do Executivo, Jair Bolsonaro (PL). É #FAKE. "," A conversa exibida no print é referente os 100 anos de sigilo decretados por Bolsonaro a seu cartão de vacinação e a informações sobre os crachás de acesso ao Palácio do Planalto em nome de seus filhos Carlos Bolsonaro (Republicanos-RJ) e Eduardo Bolsonaro (PL-SP). Além disso, o Exército impôs um sigilo de 100 anos ao processo interno sobre a ida do ex-ministro da Saúde Eduardo Pazuello, enquanto era general da ativa, a um ato político em apoio a Bolsonaro no Rio de Janeiro. ",1
É #FAKE vídeo que mostra pó branco sobre a mesa de Zelensky durante teleconferência com Elon Musk, Fato ou Fake ,Há 2 meses, 27/04/2022 ," Por Roney Domingos, g1 ",Vídeo original foi manipulado para inserir a imagem da droga sobre a escrivaninha do presidente da Ucrânia. Imagem publicada no Instagram de Zelensky  em março não indica presença do narcótico. , Circula pelas redes sociais um vídeo que mostra um pó branco e um cartão de crédito sobre a mesa do presidente da ," A legenda que acompanha o vídeo diz: """,1
É #FAKE que polícia de SP emitiu aviso sobre símbolos colados em portas e portões por assaltantes, Fato ou Fake ,Há 2 meses, 29/04/2022 ," Por Roney Domingos, g1 ","Secretaria da Segurança Pública de SP avisa que não emitiu tal alerta e a publicação é fake. Imagem que volta a circula em grupos de WhatsApp  é antiga, do tempo das correntes de e-mail, e já foi alvo de checagens até em Portugal. "," Circula pelas redes sociais um cartaz atribuído à Secretaria da Segurança Pública de São Paulo e à Superintendência da Polícia Técnico-Científica que exibe símbolos, setas e figuras geométricas e alega que são coladas por assaltantes em portas e portões para avisar outros criminosos sobre a situação de imóveis alvos de futuros assaltos. É #FAKE. "," A Secretaria da Segurança Pública afirma por telefone que não elaborou ou divulgou tal cartaz e classifica a mensagem como falsa. Segundo a SSP, a peça é antiga e ressurge de tempos em tempos. ",1
É #FAKE que idosa de Santa Catarina teve título de eleitor cancelado em 2022 mesmo estando em dia com a Justiça Eleitoral, Fato ou Fake ,Há 2 meses, 25/05/2022 ," Por Roney Domingos, g1 ","Justiça Eleitoral de Santa Catarina esclarece que eleitora não votou nas eleições de 2016, 2018 e 2020. O título dela está cancelado desde 2016 porque ela não compareceu à revisão de eleitorado. "," Circula pelas redes sociais um vídeo que mostra o momento em que uma mulher idosa mostra o título de eleitor para um funcionário da Justiça Eleitoral e é informada por ele de que o documento foi cancelado. A mulher que a acompanha a eleitora afirma que a situação dela está regular, que na última eleição ela votou e que não há motivos para o cancelamento do documento. É #FAKE. "," No vídeo, a mulher que acompanha a idosa e faz as imagens diz: """,1
É #FAKE que vídeo mostre colisão de foguete com lado oculto da Lua, Fato ou Fake ,Há 2 meses, 20/04/2022 ," Por Roney Domingos, g1 ",Imagens que circulam online como se fossem da colisão foram feitos por computação gráfica. Choque não poderia ter sido filmado da Terra. , Circulam nas redes sociais vídeos feitos a partir da rua que mostram semáforos e outros componentes urbanos pouco antes de apontar para o céu e mostrar a colisão de um objeto com a ," De fato cientistas calculam que provavelmente um resto de foguete com três toneladas colidiu com o lado oculto da lua em março de 2022 a 9.288 km/h, de acordo com o",1
É #FAKE vídeo que diz que Barroso confessou estar sendo chantageado por orgia em Cuba, Fato ou Fake ,Há 2 meses, 14/04/2022 ," Por Victor Farias, g1 ","Edição do vídeo tirou a fala do ministro do Supremo de contexto; na versão completa da gravação, Barroso cita a história como uma das mentiras sobre ele que circulam na internet ", Circula pelas redes sociais um vídeo em que o ministro do Supremo Tribunal Federal (STF) ," Na versão completa do vídeo, uma ",1
É #FAKE que vídeo mostre sereia em praia na África, Fato ou Fake ,Há 2 meses, 20/04/2022 ," Por Roney Domingos, g1 ",Sereias são seres míticos. Polícia afirma que não houve avistamento de sereia nos locais apontados.," Circula nas redes sociais um vídeo acompanhado por legendas que descrevem as cenas como o avistamento de uma sereia em uma praia em Muizenberg, na África do Sul. É #FAKE. "," Procurada pelo Fato ou Fake, a polícia de Muizenberg afirma - como não poderia deixar de ser - que não há confirmação de qualquer avistamento de sereia. ",1
É #FAKE que foto com homens de vestido seja de formatura de sociólogos da Unicamp em 2021, Fato ou Fake ,Há 2 meses, 13/04/2022 ," Por Victor Farias, g1 ","Imagem é de bastidor de uma performance na Espanha, em 2021"," Circulam pelas redes sociais postagens que mostram homens de saltos, colares e vestidos pretos, afirmando que se trata da formatura do curso de Sociologia da Universidade Estadual de Campinas ("," A imagem, na verdade, é do bastidor de um vídeo gravado pelo produtor de conteúdo Barry Brandon, em Madri, na Espanha, em 2021. A gravação completa está disponível no Instagram do influencer. ",1
É #FAKE que vídeo mostre líder dos advogados do PT orientando fraude em pesquisas eleitorais e nas urnas, Fato ou Fake ,Há 2 meses, 25/05/2022 ," Por Roney Domingos, g1 ",Vídeo foi feito por autor de canal no YouTube que se intitula ator e imitador. PT explica que não tem advogado chamado Avacalho Ellhys. Nome é um trocadilho que remete à expressão 'avacalho eles'.," Circula nas redes sociais um vídeo em que um homem fala em usar pesquisas eleitorais falsas contra o presidente Jair Bolsonaro, acompanhado de legenda que o apresentam como líder dos advogados do PT. É #FAKE. "," A legenda completa diz: ""Líder dos advogados do PT, dr Avacalho Ellhys orienta a continuar fraudando pesquisas eleitorais e consumar nas urnas."" ",1
É #FAKE que digitar 'Ankole' no Google revele a última foto tirada pelo seu telefone, Fato ou Fake ,Há 2 meses, 14/04/2022 ," Por Victor Farias, g1 ","Busca pelo termo não retorna dados pessoais, mas informações sobre a raça de boi Ankole-Watusi; Google diz que não compartilha imagens privadas e pessoais sem autorização dos usuários"," Circulam pelas redes sociais postagens que afirmam que smartphones tiram fotos sem autorização dos usuários de tempos em tempos e que é possível acessar a última fotografia ao digitar ""Ankole"" no "," Diz uma das mensagens: """,1
É #FAKE que Justiça mandou devolver mais de 600 kg de cocaína para traficantes no Rio de Janeiro, Fato ou Fake ,Há 2 meses, 20/04/2022 , Por O Globo ,"
Droga foi apreendida em um galpão no município de Itaguaí; TRF considerou a ação policial ilegal, pois os agentes não possuíam um mandado para entrar no local."," Circula pelas redes sociais um vídeo do canal do jornalista Alexandre Garcia em que ele diz que a justiça mandou devolver para traficantes cerca de 695 quilos de cocaína apreendidas em um galpão no município de Itaguaí, na Baixada Fluminense, no Rio de Janeiro. A devolução da droga aos acusados é #FAKE. "," No vídeo, publicado em 14 de abril, Garcia comenta sobre uma ação policial, que resultou na apreensão dos entorpecentes e na prisão de três pessoas em setembro do ano passado. Após um pedido da defesa, a Justiça concedeu um habeas corpus ao considerar a operação realizada por agentes da polícia civil e federal ilegal. Segundo a decisão, os agentes públicos não tinham um mandado para entrar no local, onde a cocaína foi apreendida. ",1
É #FAKE que g1 publicou matéria dizendo que Suzane von Richthofen pediu votos para Lula , Fato ou Fake ,Há 2 meses, 25/05/2022 ," Por Victor Farias, g1 ",Nenhuma reportagem sobre suposto apoio de Suzane ao ex-presidente foi publicada pelo g1. Imagem que circula em redes sociais é montagem., Circula nas redes sociais imagem de reportagem com o design do , A imagem com o título ,1
É #FAKE vídeo que mostra Daniela Mercury chamando Jesus de gay em show, Fato ou Fake ,Há 2 meses, 11/04/2022 ," Por Victor Farias, g1 ","Versão que circula em redes sociais foi editada com trechos de momentos diferentes da apresentação, que aconteceu em 2018", Circula nas redes sociais vídeo de show da cantora ," O vídeo foi editado, mostrando trechos diferentes da fala da cantora durante um show que ocorreu em 2018. Na versão original, ",1
É #FAKE que idosos têm 50% de desconto na passagem aérea garantido por lei, Fato ou Fake ,Há 2 meses, 12/05/2022 ," Por Roney Domingos, g1 ",Associação Brasileira das Empresas Aéreas (Abear) e Conselho Nacional dos Direitos da Pessoa Idosa  afirmam que a mensagem é falsa., Circula nas redes sociais uma mensagem dizendo que uma lei obriga as empresas aéreas a conceder o desconto de aproximadamente 50% nas passagens aéreas vendidas para pessoas maiores de 60 anos e que para isso elas precisam apenas avisar com 72 horas de antecedência e provar a idade com documentos. É #FAKE. ," Diz a mensagem falsa: """,1
É #FAKE que Lula tenha enviado dezenas de homens a Fortaleza para saquear supermercados , Fato ou Fake ,Há 2 meses, 05/04/2022 ," Por Victor Farias, g1 ","Segundo a Secretaria de Segurança Pública do Ceará, vídeo é de abordagem feita a torcedores que estavam indo ao jogo da final da Copa do Nordeste", Circula nas redes sociais um vídeo acompanhado de uma mensagem que diz que o ex-presidente , Diz uma das mensagens falsas sobre o vídeo: ,1
É #FAKE que jornalista Heraldo Pereira fez post em rede social com foto de Dilma Rousseff e frase 'somos todos PT', Fato ou Fake ,Há 2 meses, 12/05/2022 ," Por Clara Velasco, g1 ","A conta que fez o post é falsa. O apresentador não tem perfil oficial em nenhuma rede social. Foto em que ele aparece ao lado da ex-presidente é antiga e foi feita durante uma visita de Dilma à redação da TV Globo de Brasília, após a eleição do seu primeiro mandato.", Circula nas redes sociais a imagem de um suposto post feito pelo jornalista , O texto falso diz: ,1
É #FAKE que trem entre Parauapebas (PA) e São Luís (MA) é obra do governo Bolsonaro, Fato ou Fake ,Há 2 meses, 12/05/2022 ," Por Louise Queiroga, O Globo ",Transporte de passageiros pela Estrada de Ferro Carajás (EFC) acontece desde março de 1986, Circulam postagens nas redes sociais parabenizando o governo do presidente Jair Bolsonaro por um trem que liga ," A Estrada de Ferro Carajás (EFC), operada pela ",1
É #FAKE fala atribuída a Barroso de que Bolsonaro seria reeleito 'se passarem por cima do meu cadáver', Fato ou Fake ,Há 2 meses, 25/05/2022 ," Por Louise Queiroga, O Globo ","Postagem enganosa afirma que comentário foi feito em reunião com juízes franceses, mas o STF informou que 'tal encontro virtual nunca ocorreu e que o ministro jamais deu as declarações'", Circula em redes sociais e no Whatsapp mensagem que afirma que o ministro , A postagem enganosa afirma que Barroso fez as declarações em uma reunião com juízes franceses e ainda disse na ocasião que ,1
É #FAKE imagem que mostra caminhão pendurado em fios a vários metros de altura, Fato ou Fake ,Há 2 meses, 08/04/2022 ," Por Victor Farias, g1 ",Versão que circula em redes sociais sofreu uma edição para retirar guindaste responsável por içar o automóvel , Circula nas redes sociais imagem de um caminhão que estaria preso em fios ligados a postes a vários metros de altura. É #FAKE. ," As duas fotografias que mostram a cena foram editadas, de modo que o guindaste que segura o automóvel é apagado. ",1
É #FAKE que Lula chamou negros de 'vagabundos' em entrevista, Fato ou Fake ,Há 2 meses, 01/04/2022 , Por O Globo ,Vídeo que circula nas redes sociais é de entrevista dada em 2021 pelo petista., Circula nas redes sociais vídeo em que o ex-presidente Luís Inácio Lula da Silva (PT) supostamente se refere a negros como 'vagabundos'. É #FAKE. ," O vídeo, na verdade, foi editado de uma entrevista maior dada pelo político em 2021 a um site. ",1
É #FAKE que WhatsApp possa publicar fotos e conteúdo de usuários, Fato ou Fake ,Há 3 meses, 30/03/2022 ," Por Roney Domingos, g1 ","Assessoria do aplicativo diz que texto é falso e que não tem acesso ao conteúdo das mensagens. ""Conversas pessoais são protegidas com criptografia de ponta a ponta, o que significa que essas conversas são privadas, e que o WhatsApp não pode ler, ouvir ou ver o conteúdo das imagens compartilhadas"", afirma a empresa."," Circula pelas redes sociais uma mensagem que afirma que ""amanhã começa a nova regra do WhatsApp"" que permite usar suas fotos e pede para o usuário compartilhar em dez grupos um texto com a expressão ""eu não autorizo"" para proteger o celular contra a nova regra. É #FAKE. "," O texto falso diz: """,1
É #FAKE vídeo em que homem salva cachorro preso em linha de trem, Fato ou Fake ,Há 3 meses, 29/03/2022 ," Por Roney Domingos, g1 ",Sombras e direção da iluminação denunciam montagem de acordo com especialista em deep fake.," Circula nas redes sociais um vídeo que mostra o momento em que um homem consegue soltar um cachorro que estava preso pela coleira ao leito de uma linha de trem. O homem carregando o animal atravessa o trilho momentos antes da chegada da locomotiva e cai à margem, mas livre de riscos, enquanto os vagões passam. É #FAKE. "," O vídeo foi editado digitalmente para passar a impressão de que o cão foi salvo antes de o trem passar. A edição, no entanto, deixa falhas que denunciam a montagem. ",1
É #FAKE que títulos de eleitor de quem tem mais de 70 anos estão sendo cancelados, Fato ou Fake ,Há 3 meses, 25/05/2022 ," Por Roney Domingos, g1 ","O Tribunal Superior Eleitoral (TSE) afirma que ""esse é mais um boato"" na tentativa de causar confusão na população. O voto para eleitores nessa faixa etária é facultativo. Quem não fez cadastramento biométrico em virtude da pandemia de Covid-19 não teve título eleitoral cancelado.", Circula nas redes sociais uma mensagem que diz que os títulos de eleitor de quem tem mais de 70 anos estão sendo cancelados. É #FAKE. ," A mensagem falsa diz: """,1
Fato ou Fake: Como os criadores de fake news tentam enganar você?, Fato ou Fake ,Há 3 meses, 12/05/2022 ," Por Clara Velasco, Gessyca Rocha e Roney Domingos, g1 ","Especialistas citam quais são os principais truques utilizados nas mensagens falsas. Frases exageradas, falta de informações específicas e manipulação de imagens estão entre ferramentas usadas pelos criadores de mentiras.",," Frases exageradas, falta de informações específicas, manipulação e edição de imagens... Os criadores de fake news utilizam uma série de truques para fazer com que as pessoas acreditem nas mentiras e as compartilhem. ",3
